occurrenceID	eventID	associatedReferences	scientificName	scientificNameID	taxonRank	kingdom	vernacularName	basisOfRecord	identificationReferences	occurrenceStatus	lifeStage	sex	individualCount	sd
1958/59-CS-SSAFS-pups	1958/59-CS	O'Gorman, F. (1961). Fur seals breeding in the Falkland Islands Dependencies. Nature, 192, 914-916. https://doi.org/10.1038/192914a0	Arctocephalus gazella	urn:lsid:marinespecies.org:taxname:231404	Species	Animalia	South Shetland Antarctic fur seal		https://doi.org/10.1016/C2012-0-06919-0	present	pup	indeterminate	2	
1965/66-CS-SSAFS-pups	1965/66-CS	Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X	Arctocephalus gazella	urn:lsid:marinespecies.org:taxname:231404	Species	Animalia	South Shetland Antarctic fur seal		https://doi.org/10.1016/C2012-0-06919-0	present	pup	indeterminate	12	
1970/71-CS-SSAFS-pups	1970/71-CS	Laws, R. M. (1973). Population increase of Fur Seals at South Georgia. Polar Record, 16(105), 856-858. https://doi.org/10.1017/S003224740006397X	Arctocephalus gazella	urn:lsid:marinespecies.org:taxname:231404	Species	Animalia	South Shetland Antarctic fur seal		https://doi.org/10.1016/C2012-0-06919-0	present	pup	indeterminate	27	
1972/73-CS-SSAFS-pups	1972/73-CS	Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X	Arctocephalus gazella	urn:lsid:marinespecies.org:taxname:231404	Species	Animalia	South Shetland Antarctic fur seal		https://doi.org/10.1016/C2012-0-06919-0	present	pup	indeterminate	83	
1972/73-STI-SSAFS-pups	1972/73-STI	Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X	Arctocephalus gazella	urn:lsid:marinespecies.org:taxname:231404	Species	Animalia	South Shetland Antarctic fur seal		https://doi.org/10.1016/C2012-0-06919-0	present	pup	indeterminate	218	
1986/87-CS-SSAFS-pups	1986/87-CS	Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30	Arctocephalus gazella	urn:lsid:marinespecies.org:taxname:231404	Species	Animalia	South Shetland Antarctic fur seal		https://doi.org/10.1016/C2012-0-06919-0	present	pup	indeterminate	718	
1986/87-SSI-SSAFS-pups	1986/87-SSI	Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30	Arctocephalus gazella	urn:lsid:marinespecies.org:taxname:231404	Species	Animalia	South Shetland Antarctic fur seal		https://doi.org/10.1016/C2012-0-06919-0	present	pup	indeterminate	3824	
1986/87-STI-SSAFS-pups	1986/87-STI	Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30	Arctocephalus gazella	urn:lsid:marinespecies.org:taxname:231404	Species	Animalia	South Shetland Antarctic fur seal		https://doi.org/10.1016/C2012-0-06919-0	present	pup	indeterminate	1875	
1991/92-CS-SSAFS-pups	1991/92-CS	Aguayo, L., & Torres, D. (1993). Análisis de los censos de Arctocephalus gazella efectuados en el Sitio de Especial Interés Científico Nº 32, isla Livingston, Antártica. Serie científica INACH, 43, 87-91. http://hdl.handle.net/20.500.11894/758	Arctocephalus gazella	urn:lsid:marinespecies.org:taxname:231404	Species	Animalia	South Shetland Antarctic fur seal		https://doi.org/10.1016/C2012-0-06919-0	present	pup	indeterminate	2973	
1991/92-SSI-SSAFS-pups	1991/92-SSI	Croll, D., Bengtson, J., Holt, R. S., & Torres, D. (1992). AMLR 1991/92 Field Season Report. Census of Antarctic fur seal colonies of the South Shetland Islands, 1991-92. U.S. Department of Commerce, NOAA Administrative Report LJ-92-17, 82-85.	Arctocephalus gazella	urn:lsid:marinespecies.org:taxname:231404	Species	Animalia	South Shetland Antarctic fur seal		https://doi.org/10.1016/C2012-0-06919-0	present	pup	indeterminate	6781	
